id,level,topic,title,word_count,sentence_count,avg_sentence_words,mean_zipf_frequency,low_frequency_pct,very_low_frequency_pct,long_word_pct,probable_proper_noun_types,lexical_flags,syntax_flag,status
s001,5,Fantasy/stories,Lantern Keeper,247,25,9.88,5.949,5.39,0.0,2.49,1,,no,within-guardrails
s002,5,Nature and animals,Octopus Who Changed Color,285,19,15.0,5.722,6.18,2.18,8.36,2,,no,within-guardrails
s003,5,World affairs,A City Without Cars,288,22,13.09,5.857,2.43,0.0,8.33,0,,no,within-guardrails
s004,5,Everyday life,Last Seat on the Train,257,21,12.24,5.883,3.66,0.0,5.69,2,,no,within-guardrails
s005,5,History,Girl Who Delivered Letters,257,12,21.42,5.808,3.92,0.39,8.63,2,,no,within-guardrails
s006,5,Science,Why Bread Rises,266,13,20.46,5.762,10.53,1.13,5.64,0,,no,within-guardrails
s007,6,Fantasy/stories,Cartographer's Mistake,305,22,13.86,5.737,7.02,1.67,8.7,2,,no,within-guardrails
s008,6,Nature and animals,Migration No One Predicted,294,14,21.0,5.58,7.14,0.68,23.13,0,,no,within-guardrails
s009,6,World affairs,The Fishing Village That Said No,305,14,21.79,5.724,2.95,0.33,18.03,0,,no,within-guardrails
s010,6,Everyday life,Learning to Cook From Scratch,272,13,20.92,5.719,5.2,0.74,11.9,1,,no,within-guardrails
s011,6,History,Bridge Built in a Single Winter,282,10,28.2,5.635,6.74,0.71,17.38,0,,no,within-guardrails
s012,6,Science,The Strange Physics of Sleep,282,13,21.69,5.684,3.56,0.71,18.51,1,,no,within-guardrails
s013,7,Fantasy/stories,Clockmaker's Apprentice,387,13,29.77,5.519,8.62,2.09,20.63,1,,no,within-guardrails
s014,7,Nature and animals,Fungus That Farms Ants,349,11,31.73,5.401,14.04,1.72,26.93,0,,no,within-guardrails
s015,7,World affairs,When a River Crosses a Border,348,11,31.64,5.11,17.53,1.44,42.53,0,long-words,no,vocabulary-review
s016,7,Everyday life,Apartment Above the Bakery,352,13,27.08,5.483,13.83,2.31,20.17,2,,no,within-guardrails
s017,7,History,Telegraph Operator Who Changed a War,392,12,32.67,5.334,14.95,2.06,35.57,1,,no,within-guardrails
s018,7,Science,The Mathematics Hidden in Seashells,348,10,34.8,5.272,15.8,4.31,30.17,0,very-low-frequency,no,vocabulary-review
s019,8,Fantasy/stories,Archivist's Debt,446,13,34.31,5.424,17.95,3.41,27.73,2,,no,within-guardrails
s020,8,Nature and animals,Deep-Sea Creature That Rewrote a Textbook,411,10,41.1,5.104,22.87,4.87,36.25,0,low-frequency,no,vocabulary-review
s021,8,World affairs,The Currency No Government Controls,377,10,37.7,5.063,19.36,1.59,48.54,0,long-words,no,vocabulary-review
