id,level,topic,title,fact_check_status,fact_check_scope,source_title,source_url,checked_at,notes
"s1711","1","Fantasy/stories","A Star in the Bread Tin","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1712","1","Nature and animals","A Bat Lets Go","verified-against-authoritative-source","factual statements and qualifications","Iowa Department of Natural Resources: Why do bats hang upside down?","https://www.iowadnr.gov/news-release/2016-12-08/why-do-bats-hang-upside-down","2026-09-14","Resting posture, tendon locking, and dropping into open air before flight."
"s1713","1","World affairs","One Ramp for the Hall","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1714","1","Everyday life","Tea for the Early Driver","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1715","1","History","Words Pressed into Clay","verified-against-authoritative-source","factual statements and qualifications","Library of Congress: Learning an Ancient System of Writing","https://www.loc.gov/exhibitions/treasures-from-the-library-of-congress/about-this-exhibition/guiding-memory/learning-an-ancient-system-of-writing/","2026-09-14","Cuneiform signs pressed into clay with a reed stylus."
"s1716","1","Science","The Moon Has No Lamp","verified-against-authoritative-source","factual statements and qualifications","NASA Science: Moon Phases","https://science.nasa.gov/moon/moon-phases/","2026-09-14","Moonlight as reflected sunlight and phases as changing views of the illuminated half."
"s1717","1","Famous books","Heidi Returns to the Mountain","verified-against-primary-text","plot, characters, outcome, and source work","Project Gutenberg: Heidi","https://www.gutenberg.org/ebooks/1448","2026-09-14","Primary-text comparison of Heidi's return, Clara's visit, and the central relationships."
"s1718","1","Mystery and adventure","Mud on the Clean Floor","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1719","1","Travel and culture","A Seat by the Small Harbor","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1720","1","People and biography","Pia Paints Safe Paths","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1721","2","Fantasy/stories","The Umbrella Tree","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1722","2","Nature and animals","Water Saved by a Tortoise","verified-against-authoritative-source","factual statements and qualifications","U.S. National Park Service: Desert Tortoise","https://www.nps.gov/moja/learn/nature/desert-tortoise.htm","2026-09-14","Burrows, water storage in the bladder, and the risk of frightening a tortoise."
"s1723","2","World affairs","The Shared Street Light","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1724","2","Everyday life","A Different Birthday Cake","verified-no-external-claims","fictional people, places, events, or hypothetical policy scenario; no external factual claim identified","","","2026-09-14","Reviewed for real-person, real-place, numerical, medical, historical, and time-sensitive claims; none present."
"s1725","2","History","Shells and Waves on a Stick Chart","verified-against-authoritative-source","factual statements and qualifications","Smithsonian Ocean: Navigating the Waters with Micronesian Stick Charts","https://ocean.si.edu/human-connections/history-cultures/navigating-waters-micronesian-stick-charts","2026-09-14","Materials, wave knowledge, teaching use, and memorization of Marshallese charts."
