id,level,topic,title,word_count,sentence_count,avg_sentence_words,mean_zipf_frequency,low_frequency_pct,very_low_frequency_pct,long_word_pct,probable_proper_noun_types,lexical_flags,syntax_flag,status
s001,5,Fantasy/stories,Lantern Keeper,247,25,9.88,5.949,5.39,0.0,2.49,1,,no,within-guardrails
s002,5,Nature and animals,Octopus Who Changed Color,285,19,15.0,5.758,5.15,1.1,7.35,3,,no,within-guardrails
s003,5,World affairs,A City Without Cars,288,22,13.09,5.857,2.43,0.0,8.33,0,,no,within-guardrails
s004,5,Everyday life,Last Seat on the Train,257,21,12.24,5.883,3.66,0.0,5.69,2,,no,within-guardrails
s005,5,History,Girl Who Delivered Letters,257,12,21.42,5.808,3.92,0.39,8.63,2,,no,within-guardrails
s006,5,Science,Why Bread Rises,266,13,20.46,5.762,10.53,1.13,5.64,0,,no,within-guardrails
s007,6,Fantasy/stories,Cartographer's Mistake,305,22,13.86,5.729,7.12,1.69,8.81,3,,no,within-guardrails
s008,6,Nature and animals,Migration No One Predicted,294,14,21.0,5.58,7.14,0.68,23.13,0,,no,within-guardrails
s009,6,World affairs,The Fishing Village That Said No,305,14,21.79,5.727,2.97,0.33,18.15,1,,no,within-guardrails
s010,6,Everyday life,Learning to Cook From Scratch,272,13,20.92,5.697,5.41,0.77,12.36,2,,no,within-guardrails
s011,6,History,Bridge Built in a Single Winter,282,10,28.2,5.635,6.74,0.71,17.38,0,,no,within-guardrails
s012,6,Science,The Strange Physics of Sleep,282,13,21.69,5.684,3.56,0.71,18.51,1,,no,within-guardrails
s013,7,Fantasy/stories,Clockmaker's Apprentice,387,13,29.77,5.519,8.62,2.09,20.63,1,,no,within-guardrails
s014,7,Nature and animals,Fungus That Farms Ants,349,11,31.73,5.412,13.79,1.44,26.72,1,,no,within-guardrails
s015,7,World affairs,When a River Crosses a Border,348,11,31.64,5.123,17.24,1.44,41.38,0,long-words,no,vocabulary-review
s016,7,Everyday life,Apartment Above the Bakery,352,13,27.08,5.483,13.83,2.31,20.17,2,,no,within-guardrails
s017,7,History,Telegraph Operator Who Changed a War,392,12,32.67,5.344,14.73,1.81,35.4,2,,no,within-guardrails
s018,7,Science,The Mathematics Hidden in Seashells,348,10,34.8,5.291,15.32,4.05,29.48,2,very-low-frequency,no,vocabulary-review
s019,8,Fantasy/stories,Archivist's Debt,446,13,34.31,5.432,17.85,3.2,27.69,4,,no,within-guardrails
s020,8,Nature and animals,Deep-Sea Creature That Rewrote a Textbook,411,10,41.1,5.107,22.87,4.87,36.01,0,low-frequency,no,vocabulary-review
s021,8,World affairs,The Currency No Government Controls,377,10,37.7,5.077,19.36,1.59,47.48,0,long-words,no,vocabulary-review
s022,8,Everyday life,Neighbor Who Kept Score,391,11,35.55,5.422,15.04,1.85,27.44,3,,no,within-guardrails
s023,8,History,Committee That Erased Itself,373,10,37.3,5.291,15.01,1.88,40.75,0,,no,within-guardrails
s024,8,Science,The Memory That Isn't Where You Think It Is,390,12,32.5,5.189,16.67,3.08,39.49,0,,no,within-guardrails
s025,5,Fantasy/stories,Baker Who Whispered to Bread,260,20,13.0,5.772,8.33,0.42,8.75,5,,no,within-guardrails
s026,5,Fantasy/stories,Door That Only Opened at Noon,242,16,15.12,5.737,6.69,0.84,5.44,1,,no,within-guardrails
s027,6,Fantasy/stories,The Tailor's Invisible Thread,242,14,17.29,5.621,11.44,2.54,13.56,1,,no,within-guardrails
s028,6,Fantasy/stories,River That Remembered Names,231,10,23.1,5.581,12.17,1.3,17.83,1,,no,within-guardrails
s029,7,Fantasy/stories,Clockmaker's Second Apprentice,271,9,30.11,5.473,12.26,1.92,25.67,2,,no,within-guardrails
s030,7,Fantasy/stories,The Garden Grown From Borrowed Time,275,11,25.0,5.464,8.85,1.54,26.15,3,,no,within-guardrails
s031,8,Fantasy/stories,Cartographer Who Sold Directions,301,8,37.62,5.236,12.16,1.69,33.45,2,,no,within-guardrails
s032,8,Fantasy/stories,Innkeeper's Ledger of Debts,296,8,37.0,5.148,18.6,3.51,36.14,3,,no,within-guardrails
s033,5,Nature and animals,The Crow Who Remembered Faces,234,13,18.0,5.688,7.56,0.89,16.89,1,,no,within-guardrails
s034,5,Nature and animals,Why Some Trees Talk Underground,216,9,24.0,5.541,3.7,0.0,21.76,0,,no,within-guardrails
s035,6,Nature and animals,Fish That Climbs Waterfalls,257,11,23.36,5.405,12.94,1.96,20.39,2,,no,within-guardrails
s036,6,Nature and animals,The Bees That Vote With Their Bodies,265,9,29.44,5.363,13.21,1.51,29.81,0,,no,within-guardrails
s037,7,Nature and animals,Elephant's Long Memory for Grief,300,9,33.33,5.227,15.38,2.34,36.79,1,long-words,no,vocabulary-review
s038,7,Nature and animals,Bird That Fakes a Broken Wing,172,13,13.23,5.762,3.49,1.16,4.07,0,,no,within-guardrails
s039,8,Nature and animals,The Fungus That Controls an Ant's Mind,328,7,46.86,5.022,25.91,3.66,36.59,0,low-frequency,yes,vocabulary-review
s040,8,Nature and animals,Whale Song That Changed Overnight,336,9,37.33,5.155,15.87,2.4,38.32,1,,no,within-guardrails
s041,5,World affairs,Town That Shared One Library Book,240,12,20.0,5.789,3.78,0.0,11.76,1,,no,within-guardrails
s042,8,World affairs,A School With No Walls,229,10,22.9,5.459,7.08,0.88,24.78,2,,no,within-guardrails
s043,8,World affairs,Island Nation Selling Its Weather,256,8,32.0,5.228,12.5,1.17,41.41,0,,no,within-guardrails
s044,8,World affairs,City That Rented Out Its Rooftops,268,8,33.5,5.17,11.94,0.0,39.18,0,,no,within-guardrails
s045,8,World affairs,The Border That Moves Every Spring,320,8,40.0,5.101,18.75,2.81,41.88,0,,no,within-guardrails
s046,7,World affairs,Country Without an Official Language,293,9,32.56,5.198,14.68,2.73,46.76,0,long-words,no,vocabulary-review
s047,8,World affairs,Treaty No One Remembers Signing,334,8,41.75,5.178,14.97,1.8,38.62,0,,no,within-guardrails
s048,8,World affairs,The River Two Countries Refuse to Stop Sharing,319,8,39.88,5.084,13.69,1.27,42.68,1,long-words,no,vocabulary-review
s049,5,Everyday life,Umbrella That Belonged to Everyone,217,11,19.73,5.742,8.45,0.47,15.02,3,,no,within-guardrails
s050,5,Everyday life,Learning to Ride a Bike at Forty,239,13,18.38,5.624,9.55,0.45,14.09,4,,no,within-guardrails
s051,6,Everyday life,The Neighbor's Garden Wall,236,11,21.45,5.641,7.05,1.32,17.18,3,,no,within-guardrails
s052,6,Everyday life,Waiting for the Repairman,238,8,29.75,5.51,11.11,0.85,23.5,2,,no,within-guardrails
s053,7,Everyday life,Silence After the Renovation,216,17,12.71,5.73,7.51,1.41,17.37,1,,no,within-guardrails
s054,7,Everyday life,The Habit of Sunday Phone Calls,216,19,11.37,5.779,2.37,0.0,14.69,2,,no,within-guardrails
s055,8,Everyday life,Inheritance of an Empty House,373,9,41.44,5.346,11.44,3.0,31.88,2,,no,within-guardrails
s056,8,Everyday life,Ritual of the Late Train,401,10,40.1,5.566,8.31,1.01,23.68,1,,no,within-guardrails
s057,5,History,The Boy Who Rang the Wrong Bell,240,9,26.67,5.616,10.59,0.42,15.68,1,,no,within-guardrails
s058,8,History,Map Made of Sticks,235,9,26.11,5.272,11.74,2.17,25.65,3,,no,within-guardrails
s059,8,History,Winter the River Became a Road,287,7,41.0,5.177,12.2,1.05,31.01,0,,no,within-guardrails
s060,8,History,The Queen Who Never Left Her Room,285,7,40.71,5.353,7.75,0.0,34.86,1,,no,within-guardrails
s061,7,History,Clerk Who Saved a City's Records,347,11,31.55,5.296,11.7,1.46,34.5,1,,no,within-guardrails
s062,8,History,Expedition That Got the Math Wrong,341,9,37.89,5.241,17.89,2.35,39.3,0,,no,within-guardrails
s063,8,History,The Diplomat Who Negotiated in Silence,362,7,51.71,5.108,19.61,2.76,48.07,0,long-words,yes,vocabulary-review
s064,8,History,Census That Counted the Wrong Century,339,7,48.43,5.172,16.22,2.95,43.36,0,long-words,yes,vocabulary-review
s065,8,Science,Why Onions Make You Cry,249,9,27.67,5.559,11.24,0.4,16.06,0,,no,within-guardrails
s066,8,Science,How Spiders Build Without a Plan,263,7,37.57,5.482,9.51,0.76,17.49,0,,no,within-guardrails
s067,6,Science,Ice That Doesn't Melt Evenly,267,8,33.38,5.271,17.98,2.25,20.97,0,low-frequency,yes,vocabulary-review
s068,6,Science,Why Some Metals Remember Their Shape,268,9,29.78,5.295,14.93,2.61,29.85,0,,no,within-guardrails
s069,7,Science,The Bacteria That Eat Plastic,342,7,48.86,5.179,13.45,1.17,40.06,0,long-words,yes,vocabulary-review
s070,8,Science,Question of Whether Plants Feel Pain,354,10,35.4,5.132,15.25,1.98,41.24,0,,no,within-guardrails
s071,8,Science,Particle That Barely Exists,382,8,47.75,5.123,17.6,3.73,44.0,1,long-words,yes,vocabulary-review
s072,8,Science,The Clock That Runs Slower on a Mountain,395,8,49.38,5.046,22.37,4.37,40.36,2,low-frequency,yes,vocabulary-review
s073,5,Famous books,Scrooge Sees His Past,213,18,11.83,5.964,0.0,0.0,5.53,5,,no,within-guardrails
s074,5,Famous books,Scrooge Meets the Second Spirit,201,17,11.82,5.813,3.41,0.0,11.36,8,,no,within-guardrails
s075,6,Famous books,Elizabeth Meets Mr Darcy,194,20,9.7,5.751,5.68,0.0,15.34,5,,no,within-guardrails
s076,6,Famous books,Darcy's First Proposal,203,21,9.67,5.81,3.66,0.0,15.71,4,,no,within-guardrails
s077,7,Famous books,Pip Meets the Convict,195,17,11.47,5.845,3.21,0.0,13.37,3,,no,within-guardrails
s078,7,Famous books,Pip Visits Miss Havisham,191,16,11.94,5.732,4.62,0.0,10.4,6,,no,within-guardrails
s079,8,Famous books,A Tale of Two Cities Begins,200,15,13.33,5.728,5.56,0.0,16.11,11,,no,within-guardrails
s080,8,Famous books,Doctor Manette Returns to Life,201,17,11.82,5.734,5.52,0.55,17.13,8,,no,within-guardrails
s081,5,Fantasy/stories,The Lantern That Only Lights for Honest People,251,15,16.73,5.719,9.56,1.59,15.54,0,,no,within-guardrails
s082,6,Fantasy/stories,Weaver Who Sold Dreams by the Yard,261,9,29.0,5.445,11.72,2.34,21.88,2,,no,within-guardrails
s083,7,Fantasy/stories,Apprentice Who Inherited a Debt of Silence,216,18,12.0,5.756,7.77,0.49,19.42,4,,no,within-guardrails
s084,8,Fantasy/stories,The Bridge That Charges a Different Toll to Everyone,344,9,38.22,5.236,14.91,1.17,38.3,2,,no,within-guardrails
s085,5,Nature and animals,Octopus That Changes Color to Match Its Mood,258,8,32.25,5.31,11.02,1.57,27.17,1,long-words,yes,vocabulary-review
s086,6,Nature and animals,Ants That Build Living Bridges,196,17,11.53,5.658,6.12,0.0,9.69,0,,no,within-guardrails
s087,8,Nature and animals,The Bat That Navigates by Borrowed Echoes,300,8,37.5,5.098,19.0,6.0,36.33,0,very-low-frequency,no,vocabulary-review
s088,8,Nature and animals,Coral That Predicts the Weather,353,9,39.22,5.04,18.75,2.84,39.49,1,,no,within-guardrails
s089,6,World affairs,Village That Grows Its Own Electricity,256,8,32.0,5.355,11.72,1.95,29.69,0,,no,within-guardrails
s090,6,World affairs,The City That Banned Cars for a Day,278,8,34.75,5.324,9.06,0.36,35.51,2,long-words,yes,vocabulary-review
s091,7,World affairs,Nation That Measures Progress by Happiness,301,8,37.62,5.151,14.29,1.66,46.84,0,long-words,yes,vocabulary-review
s092,8,World affairs,Two Cities Sharing One Airport,350,9,38.89,5.187,9.14,1.43,41.43,0,,no,within-guardrails
s093,5,Everyday life,The Recipe Card With No Measurements,239,11,21.73,5.48,9.05,0.0,17.19,3,,no,within-guardrails
s094,6,Everyday life,Commute That Became a Friendship,203,17,11.94,5.733,6.19,0.0,14.95,3,,no,within-guardrails
s095,7,Everyday life,Year Without a Microwave,215,17,12.65,5.661,7.11,0.0,16.11,3,,no,within-guardrails
s096,8,Everyday life,The Father's Silence and the Son's Questions,327,8,40.88,5.204,12.5,2.5,35.62,2,,no,within-guardrails
s097,5,History,Drummer Who Warned a Village,185,17,10.88,5.728,5.0,0.56,6.67,1,,no,within-guardrails
s098,7,History,Coin With Two Different Faces,296,7,42.29,5.272,12.5,2.7,37.16,0,long-words,yes,vocabulary-review
s099,7,History,The Interpreter Who Refused to Translate,327,8,40.88,5.228,15.84,3.42,40.37,2,long-words,yes,vocabulary-review
s100,8,History,Governor Who Ruled by Letter Only,359,8,44.88,5.16,16.43,2.51,46.24,0,long-words,yes,vocabulary-review
s101,5,Science,Why Cats Always Land on Their Feet,173,16,10.81,5.78,5.85,0.58,11.11,1,,no,within-guardrails
s102,6,Science,The Salt That Preserves Without Cold,283,9,31.44,5.306,9.89,2.47,29.33,0,,no,within-guardrails
s103,7,Science,Fungus That Glows in the Dark,163,15,10.87,5.704,10.43,0.61,6.13,0,,no,within-guardrails
