# level|topic index|title|text|sourceWork (classics only)
1|0|A Cloud in the Kitchen|A cloud comes into May's kitchen. It is small and wet. May puts a cup under it. One drop falls into the cup. Then another drop falls. May takes the cloud outside. Her flowers need water. The cloud has a new job.
1|0|The Door Under the Rug|Ben moves a rug. There is a small door under it. He opens the door. A tiny man looks up. He has a tiny rug. Ben laughs. The man laughs too. Ben closes the door with care. Now he walks around that part of the room.
1|0|The Moon's Lost Shoe|The moon has one shoe. Where is the other shoe? A girl finds it in her garden. It is big and white. She puts it on the roof. That night, the shoe is gone. There is a little star in its place. The girl smiles.
1|0|The Paper Horse|A paper horse stands on Dan's desk. At night, it moves. It runs over a book. It jumps over a pen. Dan makes a paper field for it. In the morning, the horse is in the field. Its small paper head is down. It is eating paper grass.
1|0|A Song for the Stone|A stone asks for a song. Kim sings to it every day. The stone does not move or change. One day, Kim is sad. She sits by the stone. A small song comes from inside it. It is her song. Kim sits and listens.
1|1|The Quiet Gate|Amy sees a bird by the garden gate. She wants to look at it. She does not run. She sits on a chair and waits. The bird moves into the grass. Amy can see its feet now. She draws the bird. Then she goes inside.
1|1|One Red Leaf|Tom picks up a red leaf. There are yellow leaves too. He puts three leaves on white paper. They are not the same size. He draws around each leaf. Then he takes the leaves outside again. His picture stays on the table.
1|1|The Cat's New Place|Our cat sits in an empty box. We put a soft bed near the box. The cat looks at the bed. Then she goes back into the box. We leave both things there. At night, she sleeps in the bed. In the morning, she is in the box again.
1|1|Rain on the Path|It rains in our garden. I look through the window. There is a worm on the path. I do not go out. I draw a line on my paper. It looks like the worm. The rain stops. I look again. The worm is not there now.
1|1|A View of the Tree|Lee looks at a tree from his room. He can see two birds. His sister looks from the kitchen. She can see three birds. They go outside together. There are four birds in the tree. One bird is behind a big leaf. They both laugh.
1|2|A Seat for the Bags|In this made-up town, people wait for a bus. Their bags are on a bench. An old man comes. There is no place to sit. A woman puts her bag on her knees. Two people move their bags too. Now the man can sit down.
1|2|The Late Meeting|In this story, a town has a meeting at six. Sam works until seven. He cannot go. He writes his idea on a card. His friend takes the card to the meeting. The people read it. Next time, they have a meeting on Sunday too.
1|2|Two Ways to Read|In this made-up town, a sign has very small words. Ada cannot read them. She asks for help. A worker makes a new sign with big words. He keeps the old sign too. Ada can read the new one. She finds the right room.
1|2|The Open Field|In this story, two groups want to use a field. One group wants to play ball. The other wants to dance. They talk together. The ball game is in the morning. The dancing is in the afternoon. At lunch, both groups sit in the grass.
1|2|The Water Table|In this made-up town, a shop has a water table outside. The cups are too high for a child. A worker moves some cups to a low table. The child takes one. Later, a man in a low chair takes one too. Both tables are useful.
1|3|Breakfast on the Step|I make two pieces of bread. My friend comes to the door. She has two apples. We sit on the step outside. I give her some bread. She gives me an apple. We have no table, but we have a good breakfast. We watch people walk to work.
1|3|The Blue Sock Game|Dad has a blue sock. He needs the other one. We look under the bed. We look behind a chair. My little brother has it on his hand. It is a blue snake now. Dad asks the snake to go home. My brother puts it by the first sock.
1|3|A Cup with a Line|My cup has a blue line inside. I put water in it. I stop at the line. My brother wants more water. He uses a bigger cup. We put our cups on the table. His cup is big, but my cup is just right for me.
1|3|The Last Clean Shirt|Jo has one clean shirt. She puts it on for work. Her dog wants to play outside. The ground is wet. Jo takes off the clean shirt. She puts on an old one. They play for five minutes. Then Jo changes again and goes to work.
1|3|A Small Place to Write|Our table is full of things. I want to write a letter. I move a bowl and two books. Now I have a small clear place. I write to my sister. Then I put the books back. The letter stays by the door. I will post it tomorrow.
1|4|The Old Shop Bell|This story is set long ago. A girl helps in a shop. A bell rings when the door opens. One day, the bell is quiet. A string is broken. The girl finds new string. The next person opens the door. The bell rings again. The girl looks up and smiles.
1|4|A Letter by the Fire|This story is set long ago. A man gets a letter. He cannot see the words well. He sits near the fire. His son brings a lamp. They read the letter together. It is from the man's sister. She is coming to visit. They make a place for her.
1|4|The Baker's Wooden Mark|This story is set long ago. A baker has a wooden mark. She puts it on each piece of bread before cooking. Her daughter helps today. One loaf has two marks. They keep that loaf for lunch. The daughter cuts it. The two marks are on her piece.
1|4|A Coat for Market Day|This story is set long ago. Will needs a coat for market day. His old coat has a hole. His mother finds some blue cloth. Will helps her fix the hole. The coat is brown with a blue square. At the market, his friend sees him at once.
1|4|The Cart at the Well|This story is set long ago. A cart stops near a well. It is in the way. A woman wants to get water. The driver is in a shop. A boy finds him. The driver moves the cart. The woman fills her bowl. The boy holds the shop door open.
1|5|The Rolling Test|In this made-up test, Eve has two toy cars. She puts them on a board. She lifts one end. Both cars move. The red car goes farther. Eve tries again. This time, the blue car hits a book. She moves the book before the next test.
1|5|Two Paper Bridges|In this made-up test, Ned puts paper between two cups. He puts a coin on the paper. The paper falls. He folds a new piece of paper. He tries again. This paper holds the coin. Ned draws both bridges. He wants to try a second coin tomorrow.
1|5|A Shadow on the Wall|In this made-up test, Mia has a lamp and a toy. She puts the toy near the wall. Its shadow is small. She moves the toy toward the lamp. The shadow gets bigger. Mia puts marks on the table. Now she can try the same places again.
1|5|The Full Spoon|In this made-up test, Al fills a cup with water. He uses a spoon. He counts each spoon of water. His friend uses a bigger spoon. She fills her cup with fewer spoons. They look at the cups. The cups are the same size. The spoons are not.
1|5|The Warm Window Test|In this made-up test, two ice pieces sit in bowls. One bowl is by a sunny window. The other is under a table. Pia looks at both bowls. She writes down what she sees. One piece gets small first. Pia wants to try again on another day.
1|6|The Mouse Opens the Net|A lion catches a little mouse. The mouse asks to go free. The lion lets it go. Later, the lion is in a net. He cannot get out. The mouse bites the net. The lion is free now. A little friend can give big help.|Aesop: The Lion and the Mouse
1|6|Grapes Above the Fox|A fox sees some grapes. They are high above him. He jumps, but he cannot get them. He jumps again. Still, he cannot reach them. He walks away. He says the grapes are bad. But he has not tasted one. He only knows they are too high.|Aesop: The Fox and the Grapes
1|6|Stones in the Water Jar|A bird finds a jar. There is water at the bottom. The bird cannot reach it. It drops a small stone into the jar. Then it drops more stones. The water rises. At last, the bird can drink. The bird does not need to break the jar.|Aesop: The Crow and the Pitcher
1|6|The Coat Stays On|The wind and the sun see a man in a coat. The wind blows hard. The man holds his coat close. Then the sun shines. The man feels warm. He takes off his coat. The wind stops blowing. The sun has done what the wind could not do.|Aesop: The North Wind and the Sun
1|6|One Stick at a Time|A father gives his sons a group of sticks. The sons cannot break the sticks together. The father gives each son one stick. Now the sticks break easily. The sons look at the broken sticks. Their father asks them to stay together and help each other.|Aesop: The Father and His Sons
1|7|The Wet Circle|There is a wet circle on Sue's desk. No window is open. No water is on the floor. Sue looks at her brother. He points to a cold glass in his hand. He put it on her desk. Sue gets a cloth. The small mystery is over.
1|7|The Moving Red Dot|Pat sees a red dot on the floor. It moves toward the door. Pat follows it. His sister is outside with a red toy on a string. The dot is the end of the toy. Pat opens the door. Now he can see the whole thing.
1|7|Who Took the Spoon|A spoon is missing from our table. We look in the kitchen. We look in the sink. Then we hear a little bell. My brother is in his room. He is hitting a cup with the spoon. He wants us to come to his toy cafe.
1|7|The Light Under the Bed|A small light is under my bed. I call my dad. We look together. My watch is there. Its face shines in the dark. I put it on my arm. Dad turns off the big light. Now the little light is easy to find.
1|7|Three Green Steps|Three green marks go across the kitchen floor. I follow them to a chair. My sister is sitting there. There is green paint on one foot. She is painting a tree. We clean her foot and the floor. Then she puts on her shoes.
1|8|A Map on the Table|I visit a new town. A woman gives me a map. I put it on a cafe table. The park is near the cafe. I ask the woman to show me the door on the map. Now I know which way to go. I finish my drink and walk outside.
1|8|The Room with Two Beds|We arrive at a small hotel. Our room has two beds. One is near the window. One is near the door. I like the window. My brother likes the door. We put our bags down. Then we go out together to find some dinner.
1|8|The New Dance Step|At a small party, I see a new dance. I do not know the steps. A woman stands beside me. She moves slowly. I watch her feet. We take one step left and one step right. Soon I can join the dance. I thank her after the song.
1|8|An Empty Postcard|I buy a postcard in a new town. It has a picture of a bridge. I sit by the real bridge to write. A bus crosses it. I draw a little bus beside my name. Now my postcard shows something from my own day too.
1|8|A Ticket in My Hat|I take a boat on a lake. I put my ticket in my hat. The wind starts to blow. I hold my hat with both hands. A worker asks for my ticket. I take it out with care. He smiles. Next time, I will use my bag.
1|9|Rosa's First Loaf|Rosa is a made-up person. She wants to bake bread. Her first loaf is very small. She takes it to her friend. They cut it in half. Her friend asks for another loaf next week. Rosa writes the day on her calendar. She wants to try again.
1|9|The Man Who Draws Doors|This is a made-up life story. Ed draws one door every day. Some doors are big. Some are small. He puts the pictures in a book. His daughter looks at it. She finds their own door on the last page. Ed draws her standing beside it.
1|9|A New Job for Lin|Lin is a made-up person. She starts work in a flower shop. She knows the colors, but not all the names. Her boss puts a name beside each flower. Lin reads them each morning. After a week, she can help a customer find a white flower.
1|9|Omar Learns to Float|Omar is a made-up person. He goes to a swimming class. At first, he holds the side of the pool. His teacher stays close. Omar takes small steps. One day, he floats with help. He tells his brother that evening. Next week, he will go again.
1|9|The Singer at the Window|This is a made-up life story. Bea sings while she cleans. Her neighbor hears her through a window. He asks her to sing at his party. Bea is shy, but she goes. She sings one song. At the end, she asks to sing another.
2|0|The Sleepy Streetlamp|A streetlamp in a magic town keeps falling asleep. People tap its post, but its light stays dark. A child brings it a little blanket. The lamp wakes up in surprise. It has never had a present before. That night it shines warmly, with the blanket tied around its post.
2|0|The Spoon That Loved Soup|In a magic kitchen, a spoon wants to taste every soup. It jumps from bowl to bowl. The cook asks it to wait. Each person needs a clean spoon. The little spoon feels sorry. It helps the cook stir one big pot instead. Now it can stay in the soup all afternoon.
2|0|The Rain Seller's Day Off|A woman sells rain in little bottles. One morning, she wants a day off. She leaves a sign on her door. A cloud reads it and waits outside. All day, it gives free rain to the gardens. The woman comes home with dry shoes. She thanks the cloud with a very large cup of tea.
2|0|A Tail for the Kite|A kite loses its tail in a magic forest. A fox offers its own tail for one afternoon. The kite flies high, with a bright red tail behind it. The fox watches from below. Before sunset, the kite comes back. It gives the tail back and brings the fox a feather from a cloud.
2|0|The Tiny Winter|A tiny winter lives inside a blue box. Nora opens it on a hot day. Snow falls on her desk. She makes a snowball with one finger. Then her homework gets wet. Nora closes the box quickly. She takes it outside next time. The tiny winter needs a bigger place to play.
2|1|The Bird behind the Curtain|A bird lands outside our window. My son runs over, and it flies away. Next morning, we stand behind the curtain. We leave a small space to look through. The bird comes back. We watch without moving. My son draws its long tail later. He remembers more than I do.
2|1|The Garden after Dark|We visit our garden with a small light. The flowers look different at night. We hear a sound near a pot, but we cannot see an animal. My daughter wants to move the pot. We leave it alone. Tomorrow, we will look for marks in the soft ground around it.
2|1|Leaves in the Notebook|Jill finds three leaves during a walk. She draws each one in her notebook. She also draws the tree beside it. At home, she notices that two leaves look almost the same. She checks the tree pictures. Next time, she will look more closely before deciding they are from different trees.
2|1|The Dog Chooses Shade|Our dog lies beside the garden chair. When the sun reaches him, he gets up. He walks to a shady place under the table. I move my chair there too. It feels cooler. We spend the rest of the afternoon together. Neither of us wants to sit in the bright sun today.
2|1|A Slow Look at the Pond|Max wants to see something exciting at the pond. At first, he sees only water. His aunt asks him to wait. A small head appears beside a leaf. Then something moves under the water. Max sits down. He stops looking for one big event and begins to notice several small ones.
2|2|The Second Meeting Box|In this made-up town, people put ideas in a box at the town hall. Some people cannot get there easily. A worker puts a second box in a busy shop. More ideas arrive. Several are about the long walk to the town hall. The worker sees why one box was not enough.
2|2|A Bus Stop with a Roof|In this fictional town, people wait for buses in the rain. They ask for a roof over the stop. The town has money for only one roof this year. Residents count the people at three stops. They also ask who has the longest wait. Both answers help them choose a place.
2|2|A Quieter Hour|In this made-up example, a busy market tries a quiet hour. Sellers turn off their music for the first hour of the day. Some customers enjoy it. Others arrive later for the lively sounds. The sellers ask both groups what they think. They want the market to welcome different people.
2|2|The Shared Ball|In this fictional street, children share one football. The older children often keep it. A parent asks everyone to talk. They choose short turns and use a kitchen timer. The game stops when the timer rings. At first, people complain. Later, more children stay to play because they know their turn will come.
2|2|The Sign beside the Steps|In this made-up town, a library has steps at the front. There is another entrance at the side. Few visitors know about it. A reader asks for a clear sign. The library puts one by the front door. Now visitors can find the entrance that works for them without asking a stranger.
2|3|The Lunch with No Fork|I open my lunch at work. I have rice and vegetables, but no fork. My friend has a spare spoon. I wash it and use it. That evening, I put a spoon in my work bag. I also return my friend's spoon. A small kindness changes what I pack every morning.
2|3|A Shelf for Small Things|Our keys are always missing. My partner puts a little shelf beside the door. We agree to leave our keys there. For two days, I forget. Then I put a note on the door. A week later, I do not need the note. Finding my keys is finally an easy part of the morning.
2|3|The Wrong Shopping Bag|I get home with my friend's shopping bag. It has cat food and oranges. My bag has bread and milk. I call her. She is already laughing because she does not have a cat. We meet halfway between our homes. We check the bags carefully before saying goodbye this time.
2|3|One More Place at Dinner|My brother brings a friend to dinner. There are only four chairs and five people. I bring a strong chair from my desk. We move the table a little. My brother's friend helps carry the plates. The room feels full, but everyone has a place. We eat the soup before it gets cold.
2|3|The Alarm on Sunday|My alarm rings early on Sunday. I reach for my work clothes. Then I remember the day. I turn off the alarm and open the window. The street is quiet. I make breakfast slowly. Before bed that night, I check the alarm again. Monday will need a different kind of morning.
2|4|The Spare Candle|This fictional story is set long ago. A family saves one candle for guests. One evening, a neighbor arrives with a broken lamp. The mother lights the candle. They sit together while the father fixes the lamp. The guest candle is shorter now, but the family is glad they used it.
2|4|The Printer's Dirty Thumb|This fictional story is set long ago. A young printer leaves a dirty thumb mark on a page. He wants to hide it. His teacher asks him to put it aside and print another. Later, they use the marked page to wrap tools. The mistake is useful, but it does not become someone's book.
2|4|The Basket by the Ferry|This fictional story is set long ago. A woman waits for a ferry with a heavy basket. She puts it beside another basket. When the boat arrives, she almost takes the wrong one. The other basket has a blue handle. Next week, she ties a red piece of cloth to her own.
2|4|The School Slate|This fictional story is set long ago. A child writes sums on a small slate. His younger sister wants to try. He cleans one corner for her. She makes a crooked number. He does not wipe it away. He works around it until she has time to show their mother.
2|4|A Package without a Name|This fictional story is set long ago. A shopkeeper receives a package with no name. Inside are buttons. Three people ordered buttons that week. He asks each person about the color and size. One woman describes them exactly. He gives her the package and writes her name in his order book.
